num_author,name_author,field,continent,university,h_index,h_rank,i10_index,i10_rank,Euclidean_index,Euclidean_rank,Total_Citation,Total_Citation_rank,Total_Publication,Total_Publication_rank,ABC,ABC_rank,ABC_A,ABC_A_rank,DBC,DBC_rank,CRBC,CRBC_rank,CEBC,CEBC_rank,TCEBC,TCEBC_rank,ACES,ACES_rank,ABC+CES,ABC+CES_rank,ABC*CES,ABC*CES_rank
192,Simona Fabrizi,micro_theory,Oceania,Auckland,4,3256,1,3809,28.407745422683583,3572,61.0,3436,14,2384,0,3283,2,2431,7.0,2517,0,3203,1,3860,1.5,3437,14.203872711341791,3632,28.407745422683583,3461,0.0,3261
193,Prasanna Gai,multiple-field,Oceania,Auckland,10,1802,10,1828,857.4421263269026,583,1471.0,967,36,1023,0,3283,2,2431,18.0,1148,0,3203,10,1859,5.0,2147,428.7210631634513,1169,857.4421263269026,434,0.0,3261
194,Ryan Greenaway-Mcgrevy,multiple-field,Oceania,Auckland,9,1992,8,2100,118.31314381758267,2340,364.0,2104,33,1137,0,3283,2,2431,16.5,1262,0,3203,8,2146,4.0,2445,59.156571908791335,2570,118.31314381758267,2158,0.0,3261
195,John Hillas,micro_theory,Oceania,Auckland,4,3256,2,3404,33.555923471125034,3460,66.0,3386,10,2874,0,3283,4,1786,5.0,2983,0,3203,2,3459,3.0,2752,16.777961735562517,3543,33.555923471125034,3356,0.0,3261
196,James Allan Jones,p_finance,Oceania,Auckland,0,4667,0,4385,0.0,4667,0.0,4667,3,4085,0,3283,0,3965,1.5,4125,0,3203,0,4408,0.0,4504,0.0,4667,0.0,4669,0.0,3261
197,Steffen Lippert,micro_theory,Oceania,Auckland,5,2944,2,3404,60.76183012385325,2981,120.0,3002,17,2079,0,3283,5,1568,8.5,2203,0,3203,2,3459,3.0,2752,30.380915061926625,3124,60.76183012385325,2846,0.0,3261
198,Sholeh Maani,labor,Oceania,Auckland,10,1802,10,1828,68.79680225126747,2859,261.0,2382,28,1363,0,3283,0,3965,14.0,1485,0,3203,10,1859,5.0,2147,34.39840112563373,3014,68.79680225126747,2717,0.0,3261
199,Robert Macculloch,multiple-field,Oceania,Auckland,15,1141,17,1215,1886.4063719145988,229,4589.0,381,28,1363,2,1169,11,832,15.0,1386,2,1039,17,1241,11.0,1189,2628.4963570733476,573,1571.028999094663,203,3138.057998189326,459
200,Greta Meggiorini,macro,Oceania,Auckland,2,3967,1,3809,17.11724276862369,3881,19.0,4007,2,4322,0,3283,0,3965,1.0,4350,0,3203,1,3860,0.5,4086,8.558621384311845,3910,17.11724276862369,3790,0.0,3261
201,David Ratliff,finance,Oceania,Auckland,0,4667,0,4385,0.0,4667,0.0,4667,1,4577,0,3283,0,3965,0.5,4588,0,3203,0,4408,0.0,4504,0.0,4667,0.0,4669,0.0,3261
